Suffolk County, Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,2.99,-0.93
200802,7.99,4.49
200803,5.22,1.19
200804,3.38,-0.59
200805,2.17,-1.20
200806,3.25,-0.11
200807,6.88,3.47
200808,4.35,0.73
200809,7.57,3.94
200810,2.00,-1.44
200811,4.36,0.32
200812,7.80,3.79
200901,4.21,0.29
200902,2.01,-1.49
200903,3.08,-0.95
200904,4.54,0.57
200905,3.36,-0.01
200906,4.63,1.27
200907,8.13,4.72
200908,3.85,0.23
200909,2.88,-0.75
200910,5.93,2.49
200911,3.88,-0.16
200912,4.92,0.91
201001,3.57,-0.35
201002,4.57,1.07
201003,15.49,11.46
201004,1.94,-2.03
201005,2.92,-0.45
201006,2.77,-0.59
201007,2.42,-0.99
201008,5.98,2.36
201009,2.05,-1.58
201010,5.00,1.56
201011,3.72,-0.32
201012,3.88,-0.13
201101,4.43,0.51
201102,4.63,1.13
201103,2.52,-1.51
201104,4.62,0.65
201105,3.47,0.10
201106,4.80,1.44
201107,2.31,-1.10
201108,8.25,4.63
201109,5.73,2.10
201110,8.93,5.49
201111,4.24,0.20
201112,4.04,0.03
201201,3.20,-0.72
201202,0.93,-2.57
201203,1.75,-2.28
201204,3.34,-0.63
201205,4.08,0.71
201206,4.94,1.58
201207,3.13,-0.28
201208,4.03,0.41
201209,4.12,0.49
201210,4.20,0.76
201211,1.33,-2.71
201212,6.52,2.51
201301,1.45,-2.47
201302,5.54,2.04
201303,3.62,-0.41
201304,1.78,-2.19
201305,3.96,0.59
201306,10.68,7.32
201307,4.05,0.64
201308,2.27,-1.35
201309,2.83,-0.80
201310,0.85,-2.59
201311,3.14,-0.90
201312,4.82,0.81
201401,3.49,-0.43
201402,4.72,1.22
201403,4.72,0.69
201404,3.58,-0.39
201405,3.19,-0.18
201406,2.41,-0.95
201407,5.33,1.92
201408,1.99,-1.63
201409,0.94,-2.69
201410,6.61,3.17
201411,5.23,1.19
201412,6.86,2.85
201501,3.91,-0.01
201502,4.07,0.57
201503,3.11,-0.92
201504,2.40,-1.57
201505,1.10,-2.27
201506,5.67,2.31
201507,2.47,-0.94
201508,2.39,-1.23
201509,3.35,-0.28
201510,3.12,-0.32
201511,2.34,-1.70
201512,4.60,0.59
201601,3.29,-0.63
201602,4.44,0.94
201603,3.16,-0.87
201604,3.32,-0.65
201605,2.85,-0.52
201606,1.51,-1.85
201607,1.42,-1.99
201608,1.91,-1.71
201609,1.78,-1.85
201610,6.42,2.98
201611,2.46,-1.58
201612,3.38,-0.63
201701,4.58,0.66
201702,3.22,-0.28
201703,3.93,-0.10
201704,6.63,2.66
201705,4.54,1.17
201706,4.99,1.63
201707,3.52,0.11
201708,1.75,-1.87
201709,3.86,0.23
201710,5.72,2.28
201711,2.00,-2.04
201712,2.80,-1.21
201801,4.95,1.03
201802,4.06,0.56
201803,6.25,2.22
201804,5.55,1.58
201805,2.12,-1.25
201806,2.99,-0.37
201807,3.96,0.55
201808,4.88,1.26
