Suffolk County, Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,31.2,4.6
200802,31.0,3.8
200803,36.8,0.8
200804,48.5,2.8
200805,55.8,-0.5
200806,68.8,3.4
200807,74.2,3.1
200808,68.8,-0.2
200809,63.6,1.6
200810,51.0,-0.7
200811,41.7,0.6
200812,34.2,3.8
200901,22.6,-4.0
200902,31.3,4.1
200903,36.6,0.6
200904,49.7,4.0
200905,58.8,2.5
200906,62.9,-2.5
200907,69.0,-2.1
200908,72.7,3.7
200909,61.3,-0.7
200910,49.9,-1.8
200911,47.4,6.3
200912,31.5,1.1
201001,28.2,1.6
201002,31.6,4.4
201003,42.9,6.9
201004,51.9,6.2
201005,61.7,5.4
201006,69.3,3.9
201007,75.9,4.8
201008,71.9,2.9
201009,66.6,4.6
201010,53.4,1.7
201011,42.8,1.7
201012,30.5,0.1
201101,25.0,-1.6
201102,28.2,1.0
201103,37.7,1.7
201104,49.2,3.5
201105,58.5,2.2
201106,65.9,0.5
201107,75.0,3.9
201108,71.8,2.8
201109,66.0,4.0
201110,54.4,2.7
201111,48.2,7.1
201112,38.0,7.6
201201,33.1,6.5
201202,35.8,8.6
201203,45.5,9.5
201204,51.4,5.7
201205,60.3,4.0
201206,65.5,0.1
201207,74.3,3.2
201208,73.6,4.6
201209,63.7,1.7
201210,55.1,3.4
201211,41.1,0.0
201212,37.2,6.8
201301,30.7,4.1
201302,30.3,3.1
201303,37.0,1.0
201304,48.2,2.5
201305,58.4,2.1
201306,68.7,3.3
201307,76.5,5.4
201308,70.3,1.3
201309,63.2,1.2
201310,53.7,2.0
201311,41.4,0.3
201312,31.9,1.5
201401,26.2,-0.4
201402,27.1,-0.1
201403,32.0,-4.0
201404,47.6,1.9
201405,58.4,2.1
201406,67.0,1.6
201407,73.4,2.3
201408,69.4,0.4
201409,64.6,2.6
201410,55.0,3.3
201411,41.2,0.1
201412,37.4,7.0
201501,24.9,-1.7
201502,17.5,-9.7
201503,32.1,-3.9
201504,47.4,1.7
201505,62.6,6.3
201506,64.3,-1.1
201507,73.1,2.0
201508,73.6,4.6
201509,68.1,6.1
201510,52.2,0.5
201511,46.9,5.8
201512,44.1,13.7
201601,31.2,4.6
201602,33.7,6.5
201603,42.4,6.4
201604,46.5,0.8
201605,58.2,1.9
201606,67.9,2.5
201607,75.1,4.0
201608,75.2,6.2
201609,66.6,4.6
201610,54.0,2.3
201611,44.9,3.8
201612,33.6,3.2
201701,34.2,7.6
201702,35.5,8.3
201703,33.6,-2.4
201704,51.8,6.1
201705,56.1,-0.2
201706,68.3,2.9
201707,71.7,0.6
201708,70.4,1.4
201709,66.7,4.7
201710,59.8,8.1
201711,42.4,1.3
201712,28.9,-1.5
201801,27.3,0.7
201802,37.1,9.9
201803,36.4,0.4
201804,44.7,-1.0
201805,62.0,5.7
201806,66.3,0.9
201807,75.4,4.3
201808,75.9,6.9
