Suffolk County, Massachusetts, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,39.6,4.8
200802,39.2,3.4
200803,45.5,0.9
200804,59.0,3.8
200805,65.7,-1.1
200806,78.7,3.0
200807,83.6,2.6
200808,77.7,-0.9
200809,72.0,0.3
200810,60.9,-0.4
200811,49.6,0.3
200812,43.2,5.0
200901,30.9,-3.9
200902,40.8,5.0
200903,45.5,0.9
200904,60.4,5.2
200905,68.5,1.7
200906,70.3,-5.4
200907,77.5,-3.5
200908,81.6,3.0
200909,71.0,-0.7
200910,58.9,-2.4
200911,54.9,5.6
200912,39.6,1.4
201001,36.1,1.3
201002,38.3,2.5
201003,51.3,6.7
201004,62.6,7.4
201005,72.9,6.1
201006,79.4,3.7
201007,86.4,5.4
201008,82.0,3.4
201009,76.5,4.8
201010,62.6,1.3
201011,51.4,2.1
201012,38.3,0.1
201101,33.7,-1.1
201102,38.7,2.9
201103,46.7,2.1
201104,58.5,3.3
201105,66.8,0.0
201106,74.8,-0.9
201107,85.2,4.2
201108,80.6,2.0
201109,74.4,2.7
201110,62.7,1.4
201111,58.2,8.9
201112,47.1,8.9
201201,41.8,7.0
201202,45.2,9.4
201203,55.2,10.6
201204,62.8,7.6
201205,68.5,1.7
201206,74.6,-1.1
201207,84.5,3.5
201208,83.5,4.9
201209,73.4,1.7
201210,63.8,2.5
201211,49.3,0.0
201212,44.8,6.6
201301,39.3,4.5
201302,37.7,1.9
201303,44.7,0.1
201304,58.7,3.5
201305,69.5,2.7
201306,78.6,2.9
201307,85.3,4.3
201308,80.2,1.6
201309,73.8,2.1
201310,64.1,2.8
201311,51.0,1.7
201312,39.8,1.6
201401,35.5,0.7
201402,36.2,0.4
201403,42.0,-2.6
201404,57.8,2.6
201405,68.3,1.5
201406,78.0,2.3
201407,83.0,2.0
201408,79.8,1.2
201409,75.5,3.8
201410,63.5,2.2
201411,49.8,0.5
201412,44.2,6.0
201501,33.7,-1.1
201502,27.8,-8.0
201503,41.3,-3.3
201504,57.1,1.9
201505,75.2,8.4
201506,74.0,-1.7
201507,83.2,2.2
201508,84.0,5.4
201509,79.4,7.7
201510,62.1,0.8
201511,56.4,7.1
201512,52.0,13.8
201601,39.4,4.6
201602,44.4,8.6
201603,51.6,7.0
201604,56.7,1.5
201605,68.2,1.4
201606,79.0,3.3
201607,86.0,5.0
201608,86.3,7.7
201609,76.0,4.3
201610,63.8,2.5
201611,54.1,4.8
201612,41.9,3.7
201701,41.7,6.9
201702,45.0,9.2
201703,42.3,-2.3
201704,61.4,6.2
201705,64.4,-2.4
201706,79.2,3.5
201707,81.4,0.4
201708,81.2,2.6
201709,76.3,4.6
201710,69.9,8.6
201711,52.2,2.9
201712,36.3,-1.9
201801,36.0,1.2
201802,46.5,10.7
201803,43.9,-0.7
201804,54.1,-1.1
201805,72.9,6.1
201806,76.7,1.0
201807,85.7,4.7
201808,85.1,6.5
